agency_item_code,agency_item_id,first_period_start_date,last_period_end_date,description_variants,unit_variants,evidence_report_count,item_status,source_ids,notes
0001.05,ne_ndot_0001.05,2021-01-01,2022-06-30,BRIDGE DECK SURVEILLANCE,DAY,2,historical,ne_ndot_aup_calendar_2021 | ne_ndot_aup_july_june_2021_2022,Absent from the linked English Standard Item List; historical annual evidence only; do not imply current activity.
0001.07,ne_ndot_0001.07,2020-07-01,2026-06-30,SURVEILLANCE OF TEMPORARY TRAFFIC CONTROL DEVICES,DAY,11,historical,ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2022_2023 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,Absent from the linked English Standard Item List; historical annual evidence only; do not imply current activity.
0001.09,ne_ndot_0001.09,2019-07-01,2021-06-30,"BARRICADE, TYPE II",BDAY,3,historical,ne_ndot_aup_calendar_2020 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021,Absent from the linked English Standard Item List; historical annual evidence only; do not imply current activity.
0001.11,ne_ndot_0001.11,2019-01-01,2022-12-31,PUBLIC RELATIONS SPOKESPERSON,LS,4,historical,ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2021_2022,Absent from the linked English Standard Item List; historical annual evidence only; do not imply current activity.
0001.50,ne_ndot_0001.50,2018-01-01,2026-06-30,FLAGGING,DAY,13,historical,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2022_2023 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,Absent from the linked English Standard Item List; historical annual evidence only; do not imply current activity.
0001.51,ne_ndot_0001.51,2018-01-01,2023-12-31,SHOULDER CLOSURE 2-LANE ROADWAY,DAY,6,historical,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2022_2023,Absent from the linked English Standard Item List; historical annual evidence only; do not imply current activity.
0001.52,ne_ndot_0001.52,2018-01-01,2023-12-31,SHOULDER CLOSURE 4-LANE ROADWAY,DAY,6,historical,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2022_2023,Absent from the linked English Standard Item List; historical annual evidence only; do not imply current activity.
0001.53,ne_ndot_0001.53,2018-01-01,2023-12-31,LANE CLOSURE 2-LANE ROADWAY,DAY,6,historical,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2022_2023,Absent from the linked English Standard Item List; historical annual evidence only; do not imply current activity.
0001.54,ne_ndot_0001.54,2018-01-01,2023-12-31,LANE CLOSURE 4-LANE ROADWAY,DAY,6,historical,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2022_2023,Absent from the linked English Standard Item List; historical annual evidence only; do not imply current activity.
0001.91,ne_ndot_0001.91,2020-01-01,2026-06-30,BARRICADE FURNISHED SIGN DAY,EACH,5,historical,ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,Absent from the linked English Standard Item List; historical annual evidence only; do not imply current activity.
0001.97,ne_ndot_0001.97,2017-07-01,2026-06-30,BARRICADE SIGN DAY,EACH,17,historical,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2022_2023 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,Absent from the linked English Standard Item List; historical annual evidence only; do not imply current activity.
